,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-05,42.141571044921875,76.18049621582031,54.54650115966797,88.59642028808594,315.0,44.20500183105469,76.18049621582031,54.54650115966797,93.63999938964844,315.0,44.435001373291016,76.26899719238281,54.85499954223633,94.2699966430664,316.9100036621094,43.630001068115234,74.05000305175781,53.45000076293945,92.26000213623047,297.6000061035156,43.8025016784668,74.71199798583984,53.75699996948242,92.33999633789062,302.8500061035156,113605600.0,104678000.0,24044000.0,23901600.0,18986100.0
2018-03-06,42.10580825805664,76.88200378417969,54.75299835205078,88.29364776611328,325.2200012207031,44.16749954223633,76.88200378417969,54.75299835205078,93.31999969482422,325.2200012207031,44.5625,77.10649871826172,55.092498779296875,94.48999786376953,325.7900085449219,44.032501220703125,76.4000015258789,54.48875045776367,92.94000244140625,316.5,44.477500915527344,76.66000366210938,54.96099853515625,94.33999633789062,319.8800048828125,95154000.0,91234000.0,30656000.0,22175800.0,18525800.0
2018-03-07,41.71495056152344,77.25,55.481998443603516,88.80455780029297,321.1600036621094,43.75749969482422,77.25,55.481998443603516,93.86000061035156,321.1600036621094,43.962501525878906,77.29499816894531,55.611000061035156,93.94000244140625,323.739990234375,43.567501068115234,76.12550354003906,54.27410125732422,92.43000030517578,314.54998779296875,43.73500061035156,76.32599639892578,54.45949935913086,93.16000366210938,320.0,126814000.0,83482000.0,25850000.0,26716100.0,17132200.0
2018-03-08,42.17015838623047,77.59300231933594,56.29999923706055,89.34385681152344,317.0,44.23500061035156,77.59300231933594,56.29999923706055,94.43000030517578,317.0,44.279998779296875,77.74400329589844,56.380001068115234,95.0999984741211,322.9200134277344,43.76750183105469,77.26249694824219,55.63999938964844,93.7699966430664,314.1300048828125,43.869998931884766,77.5,55.76599884033203,94.2699966430664,322.20001220703125,95096400.0,77252000.0,27102000.0,25887800.0,11340100.0
2018-03-09,42.89468002319336,78.94450378417969,58.00199890136719,91.3402099609375,331.44000244140625,44.994998931884766,78.94450378417969,58.00199890136719,96.54000091552734,331.44000244140625,45.0,78.9469985961914,58.040000915527344,96.54000091552734,331.44000244140625,44.34749984741211,77.9540023803711,56.623050689697266,95.0,320.2300109863281,44.4900016784668,78.17500305175781,56.79999923706055,95.29000091552734,321.3299865722656,128740800.0,90686000.0,42560000.0,36937300.0,14500200.0
2018-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-12,43.309383392333984,79.91950225830078,58.224998474121094,91.55781555175781,321.29998779296875,45.43000030517578,79.91950225830078,58.224998474121094,96.7699966430664,321.29998779296875,45.59749984741211,80.2665023803711,58.852500915527344,97.20999908447266,333.9800109863281,45.0525016784668,79.33499908447266,57.87099838256836,96.04000091552734,318.6000061035156,45.0724983215332,79.62999725341797,58.192501068115234,96.5,333.55999755859375,128828400.0,103484000.0,43446000.0,26073700.0,20369200.0
2018-03-13,42.89229965209961,79.40899658203125,56.90850067138672,89.32493591308594,315.8800048828125,44.99250030517578,79.40899658203125,56.90850067138672,94.41000366210938,315.8800048828125,45.875,80.87699890136719,58.8380012512207,97.23999786376953,325.8399963378906,44.810001373291016,78.90049743652344,56.666500091552734,93.97000122070312,313.2799987792969,45.647499084472656,80.7979965209961,58.5,97.0,323.8699951171875,126774000.0,130638000.0,38144000.0,35387800.0,12917200.0
2018-03-14,42.527652740478516,79.55000305175781,57.4744987487793,88.79508972167969,321.54998779296875,44.61000061035156,79.55000305175781,57.4744987487793,93.8499984741211,321.54998779296875,45.130001068115234,80.3219985961914,57.929500579833984,95.41000366210938,323.8800048828125,44.45249938964844,79.54450225830078,57.071998596191406,93.5,317.70001220703125,45.08000183105469,79.8499984741211,57.260501861572266,95.12000274658203,318.1600036621094,117473600.0,85188000.0,25828000.0,32132000.0,10475100.0
2018-03-15,42.57770538330078,79.11599731445312,57.479000091552734,89.10733032226562,321.0899963378906,44.662498474121094,79.11599731445312,57.479000091552734,94.18000030517578,321.0899963378906,45.060001373291016,79.84549713134766,58.05400085449219,94.58000183105469,323.3999938964844,44.51750183105469,78.90550231933594,56.72700119018555,92.83000183105469,318.1400146484375,44.625,79.75,57.49800109863281,93.52999877929688,323.1700134277344,90975200.0,81394000.0,27908000.0,27611000.0,5642900.0
2018-03-16,42.42756271362305,78.58399963378906,56.7864990234375,89.50469970703125,318.45001220703125,44.505001068115234,78.58399963378906,56.7864990234375,94.5999984741211,318.45001220703125,44.779998779296875,79.47200012207031,57.79399871826172,95.37999725341797,324.1099853515625,44.404998779296875,78.375,56.597999572753906,93.91999816894531,318.3699951171875,44.662498474121094,79.17250061035156,57.707000732421875,94.68000030517578,321.4200134277344,157618800.0,108500000.0,61840000.0,49081300.0,7333700.0
2018-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
